member_type,sigma,tau,sigma_vm,Sy,Su,label
shaft,312108588.6137603,600921757.0749689,1086615224.2006724,1345432835.1237895,1938608250.4256437,Yield Risk
column,156527416.13336027,149446911.63243473,302496231.6968666,773545579.2702286,1000453692.5157343,Safe
column,1038064588.5115669,160652882.526189,1074712117.6918073,1171740521.1374078,1452300102.085397,Yield Risk
column,97971620.97071823,88008283.49103805,181203786.94924352,1036044148.0396935,1456503179.004677,Safe
beam,329357303.1753746,19322746.638722118,331053377.5208288,292975967.40367097,422090256.02786434,Fracture Risk
beam,99540081.98705734,129885075.27700296,246005337.87121016,540720614.8452384,662221628.6590736,Safe
shaft,50535626.429811485,177209628.0047645,311068491.35104394,265671390.53854108,419926916.6598579,Fracture Risk
shaft,201320922.4261453,543330340.0416183,962368790.5557494,514795784.16475433,784465290.3892314,Fracture Risk
shaft,393338706.54631424,1356807061.3349102,2382748736.88611,1149041720.507125,1523060881.4322283,Fracture Risk
column,2345416561.519826,27726733.769553978,2345908174.321422,1340099993.44769,1962104019.7132013,Fracture Risk
column,1242594946.0357366,162133261.98264164,1273932409.4460235,887847916.3467689,1168580991.4426842,Buckling Risk
beam,18556760.28879754,137358361.92131653,238634264.3493135,1189805277.7393706,1702889527.490438,Safe
beam,218055794.76308322,133244790.99510388,317507248.1247422,561616781.5533003,860533813.9460758,Safe
shaft,6895148.960263306,207335706.40742794,359182166.22430694,293048046.2380506,367366502.6025116,Fracture Risk
beam,97862090.56693165,51996169.45809426,132995464.90416467,215527313.4343117,316593224.4279261,Yield Risk
column,616112105.7558508,145535183.08496892,665684306.1133671,1030959787.883304,1512451592.8392222,Yield Risk
column,211721520.87157562,21374971.73783605,214934107.69478375,317107556.31177956,453187333.03939146,Buckling Risk
column,784196028.2743517,167154010.0499109,835933490.170459,893313236.5784233,1406510473.5193555,Buckling Risk
column,406512034.9641806,28308145.108483445,409458285.7986489,472573833.11587703,597138538.5947572,Yield Risk
shaft,41121706.294439964,68642061.52912392,125802196.17109348,485496129.80886436,686403744.637317,Safe
column,1291428248.0121195,109944242.60821687,1305392710.7241468,751059188.9003611,978432954.0051476,Buckling Risk
column,890022501.9751407,16912065.165487204,890504412.042172,536417756.9383712,748648141.8245965,Buckling Risk
column,350004249.640583,97044213.0606514,388272729.7044577,499621593.9650764,668095093.3824825,Yield Risk
column,721255662.9188236,155227660.18877825,769738014.363017,786172067.8562406,1224219918.6237907,Buckling Risk
column,4378481.130295015,96021315.07204817,166371421.6489869,846070894.5647268,1040896491.0600743,Safe
shaft,288837805.99758613,575569666.7637677,1037915508.1552463,1035877505.1305118,1539082791.0724366,Yield Risk
shaft,438312200.1324971,901280562.2003206,1621430707.796472,1249410603.2289507,1670955845.2435045,Fracture Risk
column,974064.0140791093,3554469.6002447056,6233102.206824077,138114629.93790975,199710499.58787853,Safe
beam,67208334.21740921,18276946.574006017,74290648.91684678,127022871.81859404,164054782.55434707,Safe
beam,83788768.85388793,56358900.43784871,128644995.09013279,461476009.76649624,589149270.8833668,Safe
column,498251532.3518761,25242210.83359154,500166069.5352045,344328488.6148971,471997054.16322964,Fracture Risk
column,917774983.2761447,145625340.84624985,951804149.8214258,1011570557.1179149,1293438227.9359188,Yield Risk
column,113105017.72689871,41830322.85703811,134320783.0753462,1092134105.0466428,1557311109.7670836,Safe
column,322229266.11613107,29541591.519072693,326266481.31577915,193982713.7194335,265919589.58782566,Fracture Risk
column,956718568.8388491,79990224.99000823,966698364.6634104,1277815461.77051,1706191141.5409434,Buckling Risk
column,568432893.2789502,39970181.51536633,572633216.2847283,535314415.1238538,794582546.8293056,Buckling Risk
shaft,19460707.53738347,336054134.8206372,582388069.6992313,430514780.30302584,611767304.1263448,Fracture Risk
shaft,523849478.11167127,892477538.9604537,1632166274.7295678,1312014064.9322855,1805092163.4935684,Fracture Risk
beam,312739562.8710993,248975737.2446566,532703282.69531727,860178513.6464176,1154070175.7633405,Yield Risk
beam,1265467384.6855924,366036222.3959365,1415399325.2862089,1210315370.6218743,1675942479.7401524,Fracture Risk
beam,1203851697.2247622,5062152.851035526,1203883626.0558584,1284933366.8052263,1997408568.1865191,Yield Risk
shaft,4568472.563326663,1017329937.1570376,1762073061.4958587,1176810360.6434708,1723866475.0671723,Fracture Risk
column,1600842916.7680914,41670109.28203607,1602469106.781563,960906979.9702381,1422654757.8170817,Buckling Risk
shaft,207997007.09421572,630450816.296787,1111605798.0543313,798423459.7931671,977608031.7791193,Fracture Risk
column,550802701.1150445,84959976.31515147,570121222.4448782,925138173.8610604,1459105105.6777296,Yield Risk
shaft,391649599.9372409,1241739713.676872,2186124872.6223216,1109612655.4128203,1334750357.5252411,Fracture Risk
beam,177921731.08013213,84638911.75843222,230537152.19353667,981325642.4231224,1539340202.093451,Safe
shaft,172353882.74884742,131161862.32776484,285159890.73932904,1308560835.0845847,1802623831.864903,Safe
column,176808062.72977528,10937581.037857033,177820086.27580637,134666146.16653314,208751795.11860666,Buckling Risk
column,527869822.47949326,34872025.20687727,531314148.04296243,305607428.6292194,429414056.871993,Buckling Risk
column,721235289.4711455,77590764.06399614,733649318.6684161,534089313.27544117,770083741.587676,Buckling Risk
shaft,220108025.49146834,34756601.44479388,228192039.55819672,901863052.9459276,1161481888.0531554,Safe
shaft,300873706.7804386,240317017.89570954,513596918.5097022,1021306839.592856,1398982262.481237,Safe
column,472325528.91056544,6003587.256683906,472439979.72281224,353949069.73110664,492384380.0872092,Buckling Risk
beam,153309361.6489733,114512236.45356703,250684896.3579749,508624453.2917363,655137246.6078488,Safe
column,173160490.1317538,9577015.049774986,173953191.96398798,394675132.44657075,486007767.87342376,Safe
beam,1312539033.4264169,114233327.49502763,1327368250.9385672,1077739012.5598688,1454841881.800012,Fracture Risk
column,80431682.51711066,74773857.75809194,152455386.80091098,1299921540.2880206,1677255970.9801044,Safe
beam,56406905.11788128,19598382.46505431,65833340.570848346,148308860.36516434,186476546.0556351,Safe
column,158888312.8882107,19041449.00402449,162275156.17919013,104375175.9728194,141188636.86289218,Fracture Risk
shaft,168934487.85556623,396061006.2121496,706492620.7062348,718064062.8272274,883677538.0324868,Yield Risk
shaft,81007899.39275022,715585648.0257835,1242075174.3535767,736667163.554741,1064110294.5311389,Fracture Risk
column,848705132.3798323,19717895.73602427,849392010.7727873,1147065108.4987488,1385712556.2245076,Yield Risk
shaft,183616913.1321319,922005309.9472812,1607481429.286547,952231502.0727819,1408689490.9827335,Fracture Risk
beam,389150742.84600675,192221179.25689277,512137916.89576197,1167787241.6103156,1462130265.8531094,Safe
beam,182605914.82188937,109820181.38573763,263678472.47495967,642429692.816292,819105634.7427107,Safe
beam,1294946971.1759908,277858620.2581891,1381486118.8999424,1014900750.0958647,1444329232.617563,Fracture Risk
beam,77803023.0603168,89912198.80065879,174085958.29885808,464681467.03883624,723525042.3646129,Safe
column,1578031640.9251156,157357999.67011502,1601395791.158873,1011076052.9163396,1379813869.514884,Fracture Risk
column,1353416414.9683545,41287653.67108058,1355304395.0872374,790777830.6258442,1027743986.0359086,Buckling Risk
shaft,304469623.8226899,96719198.10390407,347513397.83714384,954758021.412666,1394440473.5841627,Safe
shaft,51439476.607088305,102282881.96404204,184475970.20268425,236133216.37415045,362600071.9746612,Yield Risk
shaft,210284897.3561557,1127974569.8509285,1964993544.1998913,1322685820.023883,1827615243.9811962,Fracture Risk
column,531679420.20333254,29325888.954456933,534100205.1644048,793539581.5444174,1114261193.311369,Buckling Risk
column,157674675.09800524,191649145.977193,367490800.7401326,1099550412.2747438,1492149809.256545,Safe
beam,359824868.51619667,269905706.04113656,589933222.0373688,731205131.5116787,969087418.1833822,Yield Risk
column,260878877.45799434,10356258.025155423,261494827.75878,373618895.3441516,450477428.3272229,Buckling Risk
shaft,156174401.0089929,1277098355.4718032,2217505596.8761096,1236817184.161581,1529954603.9232116,Fracture Risk
beam,155996599.4997893,228636843.02235687,425628191.05081284,1051195836.2832484,1407841065.7298608,Safe
beam,98217939.75230864,78098209.47815548,167166846.7737239,239623843.17515036,381688346.6215663,Fatigue Risk
beam,272535721.5171519,407693245.30470836,756912852.5161467,1227107281.113577,1688207852.6113591,Fatigue Risk
shaft,20506144.850759767,496411403.76016986,860054269.9888581,442652282.69720584,607255343.2514198,Fracture Risk
beam,115484115.26362765,310674603.38453305,550356891.8825616,967050812.632428,1545041493.1720922,Safe
shaft,264941733.46497372,717528318.7527696,1270722151.679097,807283543.0374272,1210975512.146644,Fracture Risk
beam,405527233.2961855,2117918.5307684443,405543824.612788,931432252.6082431,1463487814.0015032,Safe
shaft,188043169.87669295,2799035.125278374,188105655.23176712,571099276.5615046,730791713.830141,Safe
beam,41340618.93313042,76562012.21519548,138903822.54313064,375804311.0924725,536503059.44887596,Safe
shaft,236358654.89124474,142204212.27052367,341367145.02781165,605169650.9816759,896498404.077942,Safe
shaft,66866870.87770013,88719614.70146023,167584869.60135064,369550418.925689,567307117.5629946,Safe
shaft,71695121.40587382,121683645.45688729,222622818.1216726,774162573.8349136,1004214510.2967557,Safe
column,997535296.1166956,152780013.08321288,1032037724.2096065,985852776.9672464,1309846440.8378541,Yield Risk
shaft,77242386.60225415,818686082.5766379,1420108126.7643166,1211101428.0248656,1459781877.2890055,Fracture Risk
shaft,368799646.66865236,524753502.08093417,980873026.0444201,1175576791.0849843,1688734296.9173722,Yield Risk
column,357343123.8557989,12509363.52257636,357999386.4439445,603162249.2496724,958355359.7346711,Safe
column,107874149.51296848,84022224.01709397,181151965.2653055,907968115.7606573,1250013381.2734447,Safe
column,1641635304.5691185,94761974.27985737,1649819980.6390975,1095423425.9437337,1576772916.8842897,Fracture Risk
column,910165923.5014256,2285704.915719006,910174533.6165411,683683549.3893157,1025015122.736539,Buckling Risk
beam,68874681.4129776,3847759.117564142,69196369.05517194,268171644.49575678,324303132.1277498,Safe
shaft,13237298.464604197,586753109.5513973,1016372402.6041553,754998576.6607634,950419729.4190373,Fracture Risk
column,52103509.72925306,24841501.18068685,67572747.97458342,454281760.24662256,593803680.6023182,Safe
column,1603388360.0292282,224357825.62333867,1649807120.4939427,1163053717.3200982,1705891652.283253,Fracture Risk
column,390219139.48803174,5482481.914780343,390334663.64981943,1266950928.0339596,1984810965.1977222,Safe
shaft,21270646.197458547,81565829.75214744,142868450.46799645,1245695370.9037404,1697589366.5701826,Safe
column,58769512.031145036,2600289.2358141127,58941836.21765251,100756696.44632931,124230949.26291423,Safe
beam,601440020.6627847,227875466.3739987,719382918.187771,759521173.4709904,1006404262.2102134,Yield Risk
column,175375533.4549999,2659045.160703694,175435997.72602478,338286723.51078796,535846958.12483966,Safe
beam,208313853.43278092,5711672.667414644,208548630.17050293,1277938853.9947362,2042466520.5332425,Safe
column,397428971.7373533,37744888.1178118,402770179.2750903,656270914.4540387,964630865.6748157,Buckling Risk
shaft,10895324.882128928,997117778.6137377,1727093020.478941,1034145651.2012029,1618860536.607436,Fracture Risk
column,532069399.9809331,84201940.35383727,551695338.6372987,676112627.0250368,1041005937.1918278,Buckling Risk
shaft,152667675.3192157,232985986.1189417,431456635.4465076,1107531236.3036737,1389867382.7703624,Safe
shaft,167904934.242565,522359820.99639994,920201833.6849655,909255348.34424,1175880213.6678083,Yield Risk
shaft,95331310.43040584,330907011.96007633,581021867.4382374,304836301.85968196,408402184.9856693,Fracture Risk
beam,25469281.500186153,35930636.09874158,67243707.00308171,237838514.89950892,316409917.1111492,Safe
beam,352091261.9712793,44317175.55608122,360361336.5836208,803159411.4379003,1062685983.7351221,Safe
column,802209400.4977543,41001493.77974213,805346689.1491373,518787652.44349414,699686371.8694139,Fracture Risk
shaft,108811561.01588573,211606823.31275588,382324860.33249456,593344991.1666803,875475011.0761417,Yield Risk
column,1753238786.8577669,46758833.08167383,1755108375.3307014,1072452320.5360086,1303239787.0922148,Buckling Risk
shaft,6938168.36573457,387975711.3733545,672029460.6840185,370604350.7225834,512331201.5836906,Fracture Risk
beam,332190780.6435319,187170771.26669565,464165280.4705111,487886187.86467254,695755811.7356203,Yield Risk
beam,264098590.81190017,373986342.895362,699532286.3782438,968301031.0760971,1379804591.1146839,Yield Risk
shaft,329652726.0715604,306251188.4305234,624532057.6653652,934794399.2905214,1286060764.8418102,Fatigue Risk
beam,66428086.17418516,118638257.2041969,215957863.5986949,413261747.5073902,544273380.6960177,Safe
shaft,63840486.719934635,147943038.59453824,264077707.7876761,230690706.34867463,340123364.69759554,Fracture Risk
shaft,139943303.88476983,227542876.04720053,418224114.10830915,859343801.1721953,1181147543.2708662,Safe
column,1328107711.2869906,219080241.19851634,1381252529.0585964,1275257018.999776,1783398420.112207,Buckling Risk
column,1234040072.3609464,69712101.37463701,1239933156.0317326,1224630786.250553,1789551555.6143138,Yield Risk
column,164945688.23901248,11797191.220202174,166206501.77023625,105483724.23467976,146977474.93454325,Fracture Risk
beam,167924664.68352976,144711002.69538116,301699380.03314453,464261176.9029968,719153054.6013926,Yield Risk
column,751492624.6318402,22196081.76351845,752475357.0802238,544238683.2431896,847288535.5957074,Buckling Risk
shaft,492217156.1080694,1647053109.667193,2894931703.3326063,1386460167.475986,2032611730.7720933,Fracture Risk
shaft,208038039.81613493,229246965.57920808,448265925.1965998,670676284.9697332,918997049.0102419,Yield Risk
beam,317016715.0290728,102442114.71428597,363294313.4831994,369559332.93439245,583750659.6974863,Yield Risk
column,772702877.6699579,43639569.06671628,776390992.4286989,516679789.85105294,819694515.0135478,Fracture Risk
column,405273280.55372405,22584824.619799733,407156793.9259996,932045115.3930147,1243125763.9239533,Safe
shaft,23279138.433579654,222344457.12134573,385814840.4662107,188383350.62958568,279583720.6088375,Fracture Risk
column,374022358.3187887,4333586.936947763,374097666.9929507,278936945.396258,431447541.26447,Buckling Risk
column,411979347.13913834,55206517.89250236,422930563.2401567,707350962.5496674,969978056.0999111,Buckling Risk
shaft,303052020.71373105,495164057.7270288,909616875.092346,1038117598.9253753,1377138386.3846374,Fatigue Risk
column,288059333.6244656,4934625.113943571,288186105.2570312,204329866.83531004,318525235.3110868,Fracture Risk
shaft,24882731.06274975,128248334.56881537,223521936.87458405,1258410769.1226346,1584725889.425762,Safe
shaft,424972085.679441,348107837.0502717,737657422.0152534,1131531672.6552925,1421021096.2870016,Yield Risk
shaft,27510571.224894926,388384401.5319076,673263812.7725372,600818349.1388172,848272909.2358749,Fracture Risk
shaft,130468385.02588157,523129908.84607005,915432522.9524864,1276337094.7734227,1619281480.2879477,Yield Risk
column,619275206.4331098,62225490.533294104,628583977.1415573,1049827431.4035636,1602688843.5092347,Safe
shaft,126484558.75150129,1137841910.6169672,1974854674.2157948,1172107146.046152,1819670432.4692838,Fracture Risk
beam,2161821327.997617,297951297.7105804,2222565270.4943533,1399231603.0039728,1930225035.2379105,Fracture Risk
column,759736355.7631307,70742494.40036042,769553657.52506,786446054.9602333,1165736093.2519054,Buckling Risk
shaft,151352879.5731622,145743411.41968036,294331649.7963255,422102366.4145777,644462106.4444445,Fatigue Risk
shaft,189821765.65732312,574663713.9091474,1013285475.5540646,514461329.60051376,662199053.5976174,Fracture Risk
column,9118561.791334964,4404657.802842117,11889121.087061388,141038156.71226174,204573187.5586486,Safe
shaft,34144246.40606426,303131110.1541604,526147545.2689285,374711768.53508997,499784343.3085953,Fracture Risk
shaft,29711668.025178097,375704371.0667689,651416998.9590904,340599494.6641092,412018362.30702764,Fracture Risk
shaft,327184081.48630583,881102514.4426314,1560792858.1491587,1164998514.2710996,1597616332.2105691,Fracture Risk
shaft,149141842.18185025,443870108.16954106,783138115.4488117,782794586.7875428,990445540.4012122,Yield Risk
column,1200210005.5659914,74817545.93930814,1207185591.7802608,797706131.3431034,1055847335.47371,Buckling Risk
column,185710336.14472735,4645710.542433985,185884579.32362187,284353537.67038465,405123757.66210145,Buckling Risk
shaft,34133826.079680346,1307490326.1422617,2264896902.0574937,1352651218.596869,1684977156.0019698,Fracture Risk
column,1015163337.1697214,1528442.1224174052,1015166789.0250992,1034255166.2659596,1548997657.249979,Buckling Risk
column,393343776.8074584,26220884.285523634,395956981.3392613,321706887.5510645,387558631.26422554,Buckling Risk
beam,48554004.761093564,4850134.716057836,49275377.20436065,196291718.56031823,258395841.49958494,Safe
beam,545682702.0877876,61508601.469291925,555985193.6175582,364796153.80423385,454968655.13523334,Fracture Risk
column,165985589.58290178,11892235.887057578,167258756.93775728,236460659.87288746,304345748.1443769,Buckling Risk
beam,411912775.0468654,85763772.89932773,437879445.135978,522201817.224825,657576523.512755,Yield Risk
shaft,40532113.286474295,20425886.671041746,53800583.14147077,279762173.5948278,410824570.7270143,Safe
column,898500617.4692141,88852453.42202026,911585231.9064279,591488514.9887431,782091760.0366648,Fracture Risk
beam,413860583.2993271,308224892.76917183,675491181.2722366,992904435.4964069,1442435037.2077875,Fatigue Risk
column,866675467.1233383,59230698.20970813,872726298.5293186,545110288.6895499,736221990.5769749,Fracture Risk
column,1247663604.3644943,52152026.94903045,1250929243.163049,724946233.262499,904185287.0830721,Buckling Risk
column,711614329.7201313,31767279.6242555,713738351.5177033,844407784.5254047,1303660865.7251832,Buckling Risk
beam,1299010382.1353352,227583338.81951562,1357501565.8260233,888271692.2801956,1338290452.9396725,Fracture Risk
beam,736445435.2805201,42343265.17434746,740088329.5001955,1165555685.395712,1739980641.7486567,Fatigue Risk
column,367786976.2544166,65109480.09544558,384688176.4458903,446499886.1261455,706981038.8330333,Buckling Risk
beam,729613251.4196522,218656379.9202503,822050688.2708895,635936175.4032977,966441647.8002852,Fracture Risk
shaft,110539440.49259447,361212148.03032476,635327959.0561552,363567893.8560345,513040264.9906703,Fracture Risk
shaft,68677318.5474206,363125384.81227607,632690057.9020146,302765381.7326075,453574080.2146591,Fracture Risk
column,700596048.5689691,34908153.59021328,703200228.1226075,537135052.1723937,811829600.9709762,Buckling Risk
column,41205267.01977244,34536895.450645775,72637906.57967268,244006690.1145448,331723858.4727166,Safe
column,1500524721.731547,66766252.267647035,1504974298.0706143,840292639.3513896,1080407795.5188138,Buckling Risk
column,30786438.796241697,116747191.6308331,204542232.9857923,692306335.5823615,998830214.8713013,Safe
beam,38834837.7660006,29001863.63300766,63493849.362550884,103732704.42325687,137001600.67133853,Yield Risk
beam,1111918190.2279358,142346643.3252283,1138924827.3515015,830523200.6815311,1164039613.3039658,Fracture Risk
column,456408394.45010215,339559.02375469415,456408773.38797057,434847574.3884944,670011567.2942511,Buckling Risk
shaft,503608635.7001533,1081000081.1481616,1938892772.7645915,1320802430.0832193,2034527058.5614383,Fracture Risk
column,453406310.6161695,96635599.33259857,483314183.1993739,975815236.5486509,1355574425.5786226,Safe
beam,197054935.94673103,338873942.0959712,619142385.623825,857885213.6421202,1030433842.2429863,Fatigue Risk
column,642505561.9821372,23514274.184013467,643795123.0392979,396257011.5537608,545170856.4097954,Fracture Risk
shaft,116999539.25456104,136067287.28626615,263119387.71992728,907704566.3499811,1403470148.5077128,Safe
beam,804838531.2541114,308901486.6831696,966449919.4559915,1279041790.215331,1590062774.0674107,Yield Risk
column,776143367.5077302,59149693.16824442,782875842.9865696,842333751.0485951,1224546449.3050513,Buckling Risk
column,671063054.2526306,62655017.96427748,679781271.1535828,835903394.7959582,1229303038.624428,Buckling Risk
shaft,216449733.72094944,112294860.33830382,290999818.2182721,482587690.2752374,611596650.8185517,Safe
column,761190663.7009695,56173515.046680205,767383618.4618624,746906682.9811841,1030304271.7386935,Buckling Risk
column,815162275.9644427,45179925.09608579,818909771.0069126,543595676.7925332,698685500.3809441,Buckling Risk
shaft,103029813.17684507,78165319.00592425,170131107.35297444,520402631.85966724,781102203.4420886,Safe
beam,673755788.5925237,333637831.2477316,887631381.8139842,1156271242.322354,1501571080.200924,Fatigue Risk
column,793116872.1301286,12641811.992927095,793419069.0227153,647788952.617977,968695251.6876837,Fracture Risk
beam,535948920.7856042,322347734.64507395,773928570.207669,1127959366.0647922,1598379942.9560347,Fatigue Risk
column,523842088.5288578,1717179.4984781651,523850531.9559824,492885722.9150622,661540014.0676091,Buckling Risk
beam,54839837.84027617,94733337.3486056,173004691.93048474,283335489.935019,435164884.24769515,Fatigue Risk
column,566196483.0485184,140211466.92419803,616081345.1059995,1171750802.3382144,1415355244.3810747,Safe
beam,55822343.81486613,20301988.556762747,65974588.19168104,452278525.84045017,684909052.8635207,Safe
shaft,266259500.2142299,1089274353.2586315,1905373971.5487247,1348953397.1981258,1910137774.9796448,Fracture Risk
beam,683152466.8787749,19691333.777870897,684003317.8869896,1066680474.6399475,1298780651.5525382,Yield Risk
shaft,440738855.1048118,706820589.8419232,1301167466.9590201,1313594203.6700246,1688586869.59644,Yield Risk
column,160299391.64281982,99388243.72191134,235223221.49702033,666933755.2519717,1003379164.8658428,Safe
shaft,194709986.43855953,925467824.0736446,1614739625.761913,1310478838.5894816,1709830020.65748,Fracture Risk
beam,841454988.2912565,163896254.4963995,888049798.1724248,662864240.7280973,1057451976.8650318,Fracture Risk
column,323037672.9083597,39237873.44275259,330109330.76024497,196487968.19080955,287879676.4194609,Buckling Risk
shaft,282491440.035567,492078613.08636385,897900605.8937517,1229599492.8491435,1846726970.2867968,Yield Risk
column,919127205.8141735,96333498.51125841,934149479.0845981,676852738.5932024,834066954.9262668,Buckling Risk
shaft,330651859.3044787,666484287.7303319,1200805800.0508375,865656018.8609581,1321091217.6691575,Fracture Risk
shaft,65246253.12855776,393860320.44782054,685299153.3754405,388741829.82788515,554017010.0488576,Fracture Risk
beam,42099535.4818914,224740910.52242306,391532631.4308098,859997175.880589,1298294085.6157296,Safe
beam,86145652.69635719,85294378.10477866,171015982.54936358,283134635.7162123,391296665.85628635,Fatigue Risk
shaft,61191763.778882906,469921559.54956466,816224998.6020128,528122589.5519498,840409179.7923865,Fracture Risk
column,134052196.1973659,31249581.14995366,144566940.45140368,217649089.7659399,262329892.2146533,Buckling Risk
shaft,46342288.27597111,232806961.68731728,405887733.1392183,591377590.254501,812459507.390703,Fatigue Risk
shaft,168733923.86367488,528858216.9439985,931420516.1740794,572184490.4530417,871410855.3594512,Fracture Risk
column,1000058023.3091921,53586677.31847774,1004355836.3165878,728632275.5896853,1145081929.9633954,Fracture Risk
column,458296765.19460195,12265672.561887536,458788911.32853514,280740630.9108334,436775916.3268503,Buckling Risk
column,1267619980.1537411,6291586.416121769,1267666819.8954587,745943986.1672692,1081436000.3772476,Buckling Risk
beam,39253195.946772456,224894444.42970267,391501400.7613122,576310184.7741216,731158303.787772,Fatigue Risk
shaft,271707844.2720791,202979244.61114722,444327439.92208743,734515389.9346087,967345259.9756428,Fatigue Risk
column,329054419.0269472,131822013.11090676,400509600.51289403,776535735.6043904,1017782125.9007761,Safe
column,587061481.718783,17935974.694007825,587882880.2427616,714203538.7473092,949831549.8976959,Buckling Risk
beam,138517705.4713642,10117974.009617213,139621899.8697177,434433868.6137795,639337508.0517226,Safe
shaft,238956761.25956523,636487266.7821355,1128028570.5951958,856855267.4048859,1130426286.7562132,Fracture Risk
beam,3328275.0714862677,237384895.72217825,411176170.96086663,1393319824.7301917,2005028288.2433994,Safe
beam,82555510.70192899,52765684.02926328,123158696.73102449,251639689.16744187,344323787.8657733,Safe
beam,376290830.25703216,11964719.638253367,376861051.9589317,557652689.056447,822015627.5016186,Yield Risk
beam,77652188.41290481,380606609.36094505,663787643.477203,1327131263.6213756,2055078324.0339503,Safe
column,274791329.716414,21815785.368491206,277377108.5743147,190921952.48326412,295654674.24120754,Buckling Risk
column,1250782134.0845695,120845547.62905928,1268174627.6008093,1102598291.3654523,1538655816.4896052,Buckling Risk
shaft,370306241.5650446,221118704.34223133,532735541.1195976,1145874151.4442987,1764945852.6379957,Safe
beam,140992189.24767032,183907281.67864028,348345320.324719,1094244618.3894048,1360223249.9539404,Safe
beam,453233499.11146605,103499181.90296859,487398037.2145282,661717550.6533358,808897731.89888,Yield Risk
column,308023683.3444869,5911766.539466174,308193829.3541196,211283180.3363753,286085135.6078564,Buckling Risk
shaft,42829828.68086102,42857018.64691963,85700445.54574472,208136527.90238297,297387404.4664912,Safe
column,740187506.8094753,15175666.294303851,740654067.5506045,650178362.4516245,911466621.7452328,Buckling Risk
beam,109319163.580699,51063891.71237335,140617362.4998798,223624472.698915,305983781.26540315,Yield Risk
shaft,16616308.457391968,272272828.8037003,471883016.88136494,692178764.6676905,919650285.5779752,Fatigue Risk
shaft,26356064.693019338,66667709.61953046,118441515.79511605,235296136.6444366,361754828.2226665,Safe
beam,606799008.4142632,97321906.11894016,629777497.8866779,754074060.628613,1014358458.0135618,Fatigue Risk
beam,2042019133.0911539,41644936.17099934,2043292696.1246662,1330521354.423731,1631497039.6599493,Fracture Risk
beam,425780632.525374,20169928.251847826,427211452.3871775,413681487.19638926,546168190.915675,Yield Risk
column,550947725.3125598,10058159.368857786,551223090.7144147,452610200.6285445,559772381.8979582,Buckling Risk
column,1098303500.155674,212187423.4090742,1158162806.5229647,1297049438.5890837,1895019078.5435154,Buckling Risk
shaft,251667523.8682723,568463783.4784683,1016262644.1771597,1226395971.779526,1897790581.8503795,Fatigue Risk
shaft,125952852.58868697,188821451.82826534,350463611.6443893,381905968.0669411,516726531.1075461,Yield Risk
column,1168734783.2192993,40226123.87895633,1170809726.9128056,797433187.4751692,1136354233.3530936,Buckling Risk
shaft,74860503.33121601,9859527.452545334,76783629.79024558,394335420.0108555,522970957.85521716,Safe
shaft,10325408.518212346,398228669.60899156,689829568.7752955,488767181.99035776,724110427.3801029,Fracture Risk
column,140860250.56198934,63692284.835803464,178918226.1012046,514505978.08015287,726095580.0490867,Safe
column,1394463597.751404,82410557.54195422,1401750058.119106,1018211757.1963818,1529138239.8762403,Buckling Risk
beam,515714512.85950524,224783988.46607468,646177207.2628886,1028917727.7511067,1644846702.1671305,Fatigue Risk
shaft,178049159.52390048,570111547.6288494,1003385784.9433849,541142300.3326964,792683061.771883,Fracture Risk
beam,76477431.75928894,45153724.96648952,109386352.9127141,219776844.06438157,271017388.0948977,Safe
column,498863543.41434836,16859551.65308508,499717488.5810467,376484914.2974575,578351961.1352785,Buckling Risk
shaft,62288213.12148104,132463970.64231819,237739210.16284597,377358859.43316644,496581479.9911379,Yield Risk
shaft,192466460.55565226,511823737.18481666,907157071.447011,523797449.1145883,643483823.3666228,Fracture Risk
column,183631399.99368322,147012173.1878805,313939848.1555188,1323364444.376591,1677315226.506784,Safe
column,239617779.71798897,136534875.1214475,336663031.4279643,814741496.7107234,1058384533.1545929,Safe
column,833158884.2367821,100228268.63799608,851052785.6045069,521992630.08346915,714952260.7200047,Buckling Risk
shaft,274900909.62814176,1026953379.9645659,1799852839.5333652,859338085.6200378,1065544562.7154504,Fracture Risk
column,342019270.40814304,28751158.98014121,345625619.3609243,923336398.5287781,1133226525.3606393,Safe
shaft,149113589.92901585,194672684.15418813,368683095.04085964,1116310584.7215662,1721249716.980212,Safe
column,465325507.7975009,79770763.77519907,485404936.59092295,824100111.3153647,1069188132.2387202,Safe
shaft,351267249.410012,245618996.25567383,551701689.750004,940717731.222354,1282796823.6307056,Safe
beam,647826046.1828588,378521557.59460235,921690997.4630581,1166083834.4298944,1406126661.552182,Fatigue Risk
column,1250579101.3095622,40278264.89856434,1252523494.5907996,984733005.9805874,1312613585.3128643,Fracture Risk
column,2364971909.5644817,258567740.8806657,2407003108.203532,1340076864.0147731,1932040555.8858962,Buckling Risk
shaft,186447027.58666188,827199954.9058498,1444832789.7319543,842619088.2568635,1141815903.494502,Fracture Risk
shaft,224615665.5964092,64378747.73184584,250770944.7082733,691372730.826058,914517470.2036213,Safe
column,594366568.480205,141965576.39632717,643221806.5112209,908745048.4839196,1112110329.7736623,Yield Risk
shaft,194792199.15217406,55244699.63362952,217025186.01160115,618824093.8786645,911365706.0410982,Safe
shaft,103581923.11323196,58636182.22721169,145064883.3949272,462477772.56868905,697607244.606485,Safe
